"","sp.","site","quadrat","tag","x","y","height0","height1","pesticide","exclosure","growth.form","growth.habit","dispersal.mode","mycor.type","shade.tolerance","leaf.lifespan","surv0","surv1","census","quad.unique","plot","quad.sp","A.sum","A.con","A.het","quad.census","quad.census.sp","sum.dens","con.dens","S.con","S.het","lg_A.con","lg_A.het","lg_A.sum","lg_S.con","lg_S.het","lg_height0"
"1134","ACTE",2,506,6013,0.1,0.9,1,0,"W",0,"tree","mid-canopy","wind","AM","shade_tolerant","deciduous",1,0,"15fa","2_0_506","2_0","2_0_506_ACTE",5588.27540425931,88.0908026935313,5500.18460156578,"2_0_506_15fa","2_0_506_15fa_ACTE",8,1,0,7,-0.50778477111211,0.680044637570112,-0.0369095158319722,-2.04128471219882,-0.503340351639417,-3.31475006846502
"1158","ACTR",2,208,8003,0,0.4,4,0,"I",1,"tree","mid-canopy","wind","AM","shade_tolerant","deciduous",1,0,"15fa","2_1_208","2_1","2_1_208_ACTR",4280.28263594426,14.2634330176391,4266.01920292662,"2_1_208_15fa","2_1_208_15fa_ACTR",2,1,0,1,-1.22581260954733,-0.265696716648479,-1.61225865506452,-2.04128471219882,-2.46178129100138,-0.332358117077464
"1481","FRMA",2,405,5017,0.55,0.5,3,0,"W",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_1_405","2_1","2_1_405_FRMA",7016.94991288203,826.925332731996,6190.02458015004,"2_1_405_15fa","2_1_405_15fa_FRMA",16,7,6,9,0.399526858280494,1.11981680011121,1.30806868124432,0.22804613679264,-0.188101771360311,-0.951260365764085
"1486","FRMA",2,302,2009,0.9,0.43,3,0,"F",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_1_302","2_1","2_1_302_FRMA",7217.92801658035,464.645434787548,6753.2825817928,"2_1_302_15fa","2_1_302_15fa_FRMA",11,7,6,4,0.165298966139474,1.44395729015262,1.47490336633081,0.22804613679264,-1.16732224104129,-0.951260365764085
"1511","FRMA",1,106,6005,0.85,0.25,4,0,"I",0,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","1_0_106","1_0","1_0_106_FRMA",4942.22835626109,769.352113504397,4172.87624275669,"1_0_106_15fa","1_0_106_15fa_FRMA",4,1,0,3,0.370192222170517,-0.347860203942283,-0.76272001991065,-2.04128471219882,-1.4825608213204,-0.332358117077464
"1513","FRMA",2,302,2008,0.75,0.24,4,0,"F",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_1_302","2_1","2_1_302_FRMA",7217.92801658035,464.645434787548,6753.2825817928,"2_1_302_15fa","2_1_302_15fa_FRMA",11,7,6,4,0.165298966139474,1.44395729015262,1.47490336633081,0.22804613679264,-1.16732224104129,-0.332358117077464
"1520","FRMA",1,101,1006,0.05,0.9,8,9,"W",0,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,1,"15fa","1_0_101","1_0","1_0_101_FRMA",5105.70442998651,98.1192613202131,5007.5851686663,"1_0_101_15fa","1_0_101_15fa_FRMA",6,1,0,5,-0.464371024549563,0.330825039552265,-0.570464733509797,-2.04128471219882,-0.909753566618466,1.15883785861631
"1539","FRMA",2,304,4014,0.75,0.9,5,6,"I",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,1,"15fa","2_1_304","2_1","2_1_304_FRMA",7203.63112603023,659.572993297563,6544.05813273266,"2_1_304_15fa","2_1_304_15fa_FRMA",17,16,15,1,0.307620012479949,1.32682401771827,1.46318972265792,1.19212312114801,-2.46178129100138,0.147699762481336
"1541","FRMA",2,304,4016,0.44,0.11,4,0,"I",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_1_304","2_1","2_1_304_FRMA",7203.63112603023,659.572993297563,6544.05813273266,"2_1_304_15fa","2_1_304_15fa_FRMA",17,16,15,1,0.307620012479949,1.32682401771827,1.46318972265792,1.19212312114801,-2.46178129100138,-0.332358117077464
"1542","FRMA",2,304,4017,0.44,0.11,4,0,"I",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_1_304","2_1","2_1_304_FRMA",7203.63112603023,659.572993297563,6544.05813273266,"2_1_304_15fa","2_1_304_15fa_FRMA",17,16,15,1,0.307620012479949,1.32682401771827,1.46318972265792,1.19212312114801,-2.46178129100138,-0.332358117077464
"1544","FRMA",2,304,4019,0.12,0.3,3,0,"I",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_1_304","2_1","2_1_304_FRMA",7203.63112603023,659.572993297563,6544.05813273266,"2_1_304_15fa","2_1_304_15fa_FRMA",17,16,15,1,0.307620012479949,1.32682401771827,1.46318972265792,1.19212312114801,-2.46178129100138,-0.951260365764085
"1548","FRMA",2,506,6007,0.05,0.8,3,0,"W",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_1_506","2_1","2_1_506_FRMA",6000.28657985463,1784.3453635115,4215.94121634313,"2_1_506_15fa","2_1_506_15fa_FRMA",16,16,15,0,0.712283646055027,-0.309646067182742,0.383357228374761,1.19212312114801,-3.44100176068236,-0.951260365764085
"1553","FRMA",2,207,7006,0.9,0.85,3,0,"W",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_1_207","2_1","2_1_207_FRMA",4473.20915302553,930.213006745067,3542.99614628047,"2_1_207_15fa","2_1_207_15fa_FRMA",6,5,4,1,0.447375843391224,-0.956888092672535,-1.35179722523023,-0.1643495895796,-2.46178129100138,-0.951260365764085
"1555","FRMA",1,207,7008,0.3,0.9,6,0,"W",0,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","1_0_207","1_0","1_0_207_FRMA",5294.53426934364,946.566045350281,4347.96822399336,"1_0_207_15fa","1_0_207_15fa_FRMA",7,1,0,6,0.454461141576728,-0.194877774289147,-0.355910279476303,-2.04128471219882,-0.691982355343899,0.539935609929693
"1564","FRMA",2,304,4013,0.93,0.81,4,0,"I",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_1_304","2_1","2_1_304_FRMA",7203.63112603023,659.572993297563,6544.05813273266,"2_1_304_15fa","2_1_304_15fa_FRMA",17,16,15,1,0.307620012479949,1.32682401771827,1.46318972265792,1.19212312114801,-2.46178129100138,-0.332358117077464
"1570","FRMA",2,208,8002,0.59,0.66,4,5,"I",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,1,"15fa","2_1_208","2_1","2_1_208_FRMA",4280.28263594426,791.429061920775,3488.85357402348,"2_1_208_15fa","2_1_208_15fa_FRMA",2,1,0,1,0.381692125130022,-1.0142039356141,-1.61225865506452,-2.04128471219882,-2.46178129100138,-0.332358117077464
"1573","FRMA",2,304,4008,0.9,0.05,4,7,"I",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,1,"15fa","2_1_304","2_1","2_1_304_FRMA",7203.63112603023,659.572993297563,6544.05813273266,"2_1_304_15fa","2_1_304_15fa_FRMA",17,16,15,1,0.307620012479949,1.32682401771827,1.46318972265792,1.19212312114801,-2.46178129100138,-0.332358117077464
"1603","FRMA",2,304,4012,0.93,0.76,3,0,"I",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_1_304","2_1","2_1_304_FRMA",7203.63112603023,659.572993297563,6544.05813273266,"2_1_304_15fa","2_1_304_15fa_FRMA",17,16,15,1,0.307620012479949,1.32682401771827,1.46318972265792,1.19212312114801,-2.46178129100138,-0.951260365764085
"1607","FRMA",2,302,2007,0.9,0.1,3,0,"F",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_1_302","2_1","2_1_302_FRMA",7217.92801658035,464.645434787548,6753.2825817928,"2_1_302_15fa","2_1_302_15fa_FRMA",11,7,6,4,0.165298966139474,1.44395729015262,1.47490336633081,0.22804613679264,-1.16732224104129,-0.951260365764085
"1614","FRMA",2,204,4011,0.1,0.9,2,0,"W",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_1_204","2_1","2_1_204_FRMA",6390.83387582935,1011.44885711862,5379.38501871073,"2_1_204_15fa","2_1_204_15fa_FRMA",12,5,4,7,0.481417015259655,0.597389783303966,0.755894232494224,-0.1643495895796,-0.503340351639417,-1.82355409277124
"1623","FRMA",2,505,5006,0.97,0.3,3,0,"I",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_1_505","2_1","2_1_505_FRMA",6244.71306660459,1416.64617865965,4828.06688794494,"2_1_505_15fa","2_1_505_15fa_FRMA",10,4,3,6,0.618423745816006,0.194946599292217,0.619247304272402,-0.424580795525405,-0.691982355343899,-0.951260365764085
"1626","FRMA",3,509,9002,0.9,0.75,6,0,"I",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","3_1_509","3_1","3_1_509_FRMA",6424.90227093518,142.977883305663,6281.92438762952,"3_1_509_15fa","3_1_509_15fa_FRMA",2,2,1,0,-0.312423304887962,1.17466784865159,0.78730449964498,-1.23293275386211,-3.44100176068236,0.539935609929693
"1631","FRMA",1,301,1009,0.6,0.1,3,0,"I",0,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","1_0_301","1_0","1_0_301_FRMA",6167.44982589993,267.289150760499,5900.16067513943,"1_0_301_15fa","1_0_301_15fa_FRMA",6,2,1,4,-0.0591042135825402,0.941315570059642,0.54569546244833,-1.23293275386211,-1.16732224104129,-0.951260365764085
"1632","FRMA",1,301,1010,0.8,0.5,1,0,"I",0,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","1_0_301","1_0","1_0_301_FRMA",6167.44982589993,267.289150760499,5900.16067513943,"1_0_301_15fa","1_0_301_15fa_FRMA",6,2,1,4,-0.0591042135825402,0.941315570059642,0.54569546244833,-1.23293275386211,-1.16732224104129,-3.31475006846502
"1633","FRMA",1,503,3010,0.85,0.58,5,0,"F",0,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","1_0_503","1_0","1_0_503_FRMA",4106.38150802374,412.150801993249,3694.23070603049,"1_0_503_15fa","1_0_503_15fa_FRMA",8,4,3,4,0.116616958444086,-0.801313423915305,-1.85729916704339,-0.424580795525405,-1.16732224104129,0.147699762481336
"1666","FRMA",2,506,6003,0.65,0.17,3,0,"W",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_1_506","2_1","2_1_506_FRMA",6000.28657985463,1784.3453635115,4215.94121634313,"2_1_506_15fa","2_1_506_15fa_FRMA",16,16,15,0,0.712283646055027,-0.309646067182742,0.383357228374761,1.19212312114801,-3.44100176068236,-0.951260365764085
"1668","FRMA",2,304,4022,0.35,0.81,3,0,"I",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_1_304","2_1","2_1_304_FRMA",7203.63112603023,659.572993297563,6544.05813273266,"2_1_304_15fa","2_1_304_15fa_FRMA",17,16,15,1,0.307620012479949,1.32682401771827,1.46318972265792,1.19212312114801,-2.46178129100138,-0.951260365764085
"1673","FRMA",2,207,7002,0.7,0.35,3,0,"W",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_1_207","2_1","2_1_207_FRMA",4473.20915302553,930.213006745067,3542.99614628047,"2_1_207_15fa","2_1_207_15fa_FRMA",6,5,4,1,0.447375843391224,-0.956888092672535,-1.35179722523023,-0.1643495895796,-2.46178129100138,-0.951260365764085
"1676","FRMA",2,506,6013,0.82,0.82,3,4.5,"W",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,1,"15fa","2_1_506","2_1","2_1_506_FRMA",6000.28657985463,1784.3453635115,4215.94121634313,"2_1_506_15fa","2_1_506_15fa_FRMA",16,16,15,0,0.712283646055027,-0.309646067182742,0.383357228374761,1.19212312114801,-3.44100176068236,-0.951260365764085
"1709","FRMA",2,101,1003,0.3,0.73,3,0,"W",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_1_101","2_1","2_1_101_FRMA",7368.95708744895,620.805635071514,6748.15145237744,"2_1_101_15fa","2_1_101_15fa_FRMA",11,9,8,2,0.283004623628782,1.441128310083,1.59724548505241,0.521130370497566,-1.88897403629944,-0.951260365764085
"1710","FRMA",3,408,8002,0.88,0.1,4,0,"F",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","3_1_408","3_1","3_1_408_FRMA",6126.33935430882,171.462782921764,5954.87657138706,"3_1_408_15fa","3_1_408_15fa_FRMA",3,3,2,0,-0.238950946446908,0.975672193568542,0.506183299376923,-0.760077170850629,-3.44100176068236,-0.332358117077464
"1718","FRMA",2,309,9018,0,0.42,3,5,"W",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,1,"15fa","2_1_309","2_1","2_1_309_FRMA",4591.62126343313,949.579476391893,3642.04178704124,"2_1_309_15fa","2_1_309_15fa_FRMA",14,8,7,6,0.45575342129863,-0.854268423715522,-1.19744118423665,0.383771162811304,-0.691982355343899,-0.951260365764085
"1750","FRMA",3,408,8001,0.3,0.3,5,5,"F",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,1,"15fa","3_1_408","3_1","3_1_408_FRMA",6126.33935430882,171.462782921764,5954.87657138706,"3_1_408_15fa","3_1_408_15fa_FRMA",3,3,2,0,-0.238950946446908,0.975672193568542,0.506183299376923,-0.760077170850629,-3.44100176068236,0.147699762481336
"1761","FRMA",2,406,6015,1,0.75,5,0,"F",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_1_406","2_1","2_1_406_FRMA",5609.00660708954,910.841135520564,4698.16547156898,"2_1_406_15fa","2_1_406_15fa_FRMA",14,7,6,7,0.438819782130481,0.0934348214534777,-0.0150331654846271,0.22804613679264,-0.503340351639417,0.147699762481336
"1782","FRMA",2,304,4015,0.44,0.11,4,0,"I",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_1_304","2_1","2_1_304_FRMA",7203.63112603023,659.572993297563,6544.05813273266,"2_1_304_15fa","2_1_304_15fa_FRMA",17,16,15,1,0.307620012479949,1.32682401771827,1.46318972265792,1.19212312114801,-2.46178129100138,-0.332358117077464
"1785","FRMA",2,304,4018,0.4,0.23,4,0,"I",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_1_304","2_1","2_1_304_FRMA",7203.63112603023,659.572993297563,6544.05813273266,"2_1_304_15fa","2_1_304_15fa_FRMA",17,16,15,1,0.307620012479949,1.32682401771827,1.46318972265792,1.19212312114801,-2.46178129100138,-0.332358117077464
"1788","FRMA",2,310,10013,0.05,0.87,3,0,"F",0,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_0_310","2_0","2_0_310_FRMA",9588.55520814685,217.021049599783,9371.53415854707,"2_0_310_15fa","2_0_310_15fa_FRMA",11,6,5,5,-0.143546012315036,2.66343672361448,3.15275800385042,0.0482747874860802,-0.909753566618466,-0.951260365764085
"1789","FRMA",2,310,10014,0.1,0.81,4,3,"F",0,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,1,"15fa","2_0_310","2_0","2_0_310_FRMA",9588.55520814685,217.021049599783,9371.53415854707,"2_0_310_15fa","2_0_310_15fa_FRMA",11,6,5,5,-0.143546012315036,2.66343672361448,3.15275800385042,0.0482747874860802,-0.909753566618466,-0.332358117077464
"1791","FRMA",2,506,6006,0.5,0.55,3,5,"W",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,1,"15fa","2_1_506","2_1","2_1_506_FRMA",6000.28657985463,1784.3453635115,4215.94121634313,"2_1_506_15fa","2_1_506_15fa_FRMA",16,16,15,0,0.712283646055027,-0.309646067182742,0.383357228374761,1.19212312114801,-3.44100176068236,-0.951260365764085
"1797","FRMA",2,105,5012,0.5,0.62,3,4,"F",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,1,"15fa","2_1_105","2_1","2_1_105_FRMA",5890.4930558338,617.7218690145,5272.7711868193,"2_1_105_15fa","2_1_105_15fa_FRMA",10,9,8,1,0.280981137029808,0.522884456134147,0.274253089429285,0.521130370497566,-2.46178129100138,-0.951260365764085
"1806","FRMA",2,402,2014,0.3,0,3,0,"W",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_1_402","2_1","2_1_402_FRMA",6306.37489625378,398.776305754343,5907.59859049944,"2_1_402_15fa","2_1_402_15fa_FRMA",11,8,7,3,0.103223601970344,0.946004573987765,0.677297142965907,0.383771162811304,-1.4825608213204,-0.951260365764085
"1831","FRMA",2,101,1004,0.3,0.95,3,0,"W",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_1_101","2_1","2_1_101_FRMA",7368.95708744895,620.805635071514,6748.15145237744,"2_1_101_15fa","2_1_101_15fa_FRMA",11,9,8,2,0.283004623628782,1.441128310083,1.59724548505241,0.521130370497566,-1.88897403629944,-0.951260365764085
"1838","FRMA",2,309,9017,0.5,0.96,4,5,"W",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,1,"15fa","2_1_309","2_1","2_1_309_FRMA",4591.62126343313,949.579476391893,3642.04178704124,"2_1_309_15fa","2_1_309_15fa_FRMA",14,8,7,6,0.45575342129863,-0.854268423715522,-1.19744118423665,0.383771162811304,-0.691982355343899,-0.332358117077464
"1840","FRMA",2,410,10017,0.61,0.22,3,0,"I",0,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_0_410","2_0","2_0_410_FRMA",7019.84268580879,227.041276910453,6792.80140889834,"2_0_410_15fa","2_0_410_15fa_FRMA",14,10,9,4,-0.125257452489214,1.46567371412944,1.31050373726361,0.64400236875711,-1.16732224104129,-0.951260365764085
"1842","FRMA",2,410,10003,0.65,0.48,5,5,"I",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,1,"15fa","2_1_410","2_1","2_1_410_FRMA",6310.57574181478,2589.69660786069,3720.87913395409,"2_1_410_15fa","2_1_410_15fa_FRMA",3,3,2,0,0.863815821935982,-0.774561644658728,0.681231237730079,-0.760077170850629,-3.44100176068236,0.147699762481336
"1855","FRMA",1,203,3004,0.22,0.27,5,0,"I",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","1_1_203","1_1","1_1_203_FRMA",5002.06429390381,325.244331191076,4676.81996271273,"1_1_203_15fa","1_1_203_15fa_FRMA",1,1,0,0,0.0204973617772501,0.0764862359508862,-0.691622257145968,-2.04128471219882,-3.44100176068236,0.147699762481336
"1866","FRMA",2,303,3009,0.15,0.25,2,0,"W",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_1_303","2_1","2_1_303_FRMA",7015.29714822068,537.72517719951,6477.57197102117,"2_1_303_15fa","2_1_303_15fa_FRMA",9,9,8,0,0.224631870936709,1.28881676501132,1.30667697912954,0.521130370497566,-3.44100176068236,-1.82355409277124
"1870","FRMA",1,408,8006,0.22,0.75,4,4,"F",0,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,1,"15fa","1_0_408","1_0","1_0_408_FRMA",6045.36181490744,1659.63148350802,4385.73033139942,"1_0_408_15fa","1_0_408_15fa_FRMA",5,1,0,4,0.682811173767301,-0.162692476718562,0.427572503768712,-2.04128471219882,-1.16732224104129,-0.332358117077464
"1883","FRMA",2,503,3017,0,0.2,6,6,"F",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,1,"15fa","2_1_503","2_1","2_1_503_FRMA",6881.49291776735,443.640036473688,6437.85288129366,"2_1_503_15fa","2_1_503_15fa_FRMA",22,18,17,4,0.146512079081744,1.26592450043708,1.19290606218288,1.32948232883427,-1.16732224104129,0.539935609929693
"1887","FRMA",2,503,3021,0.46,0.36,4,6,"F",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,1,"15fa","2_1_503","2_1","2_1_503_FRMA",6881.49291776735,443.640036473688,6437.85288129366,"2_1_503_15fa","2_1_503_15fa_FRMA",22,18,17,4,0.146512079081744,1.26592450043708,1.19290606218288,1.32948232883427,-1.16732224104129,-0.332358117077464
"1889","FRMA",2,503,3023,0.57,0.65,3,6,"F",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,1,"15fa","2_1_503","2_1","2_1_503_FRMA",6881.49291776735,443.640036473688,6437.85288129366,"2_1_503_15fa","2_1_503_15fa_FRMA",22,18,17,4,0.146512079081744,1.26592450043708,1.19290606218288,1.32948232883427,-1.16732224104129,-0.951260365764085
"1899","FRMA",2,304,4010,0.98,0.15,4,0,"I",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_1_304","2_1","2_1_304_FRMA",7203.63112603023,659.572993297563,6544.05813273266,"2_1_304_15fa","2_1_304_15fa_FRMA",17,16,15,1,0.307620012479949,1.32682401771827,1.46318972265792,1.19212312114801,-2.46178129100138,-0.332358117077464
"1901","FRMA",2,304,4011,0.93,0.75,4,6.5,"I",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,1,"15fa","2_1_304","2_1","2_1_304_FRMA",7203.63112603023,659.572993297563,6544.05813273266,"2_1_304_15fa","2_1_304_15fa_FRMA",17,16,15,1,0.307620012479949,1.32682401771827,1.46318972265792,1.19212312114801,-2.46178129100138,-0.332358117077464
"1904","FRMA",2,204,4015,0.65,0.07,2,0,"W",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_1_204","2_1","2_1_204_FRMA",6390.83387582935,1011.44885711862,5379.38501871073,"2_1_204_15fa","2_1_204_15fa_FRMA",12,5,4,7,0.481417015259655,0.597389783303966,0.755894232494224,-0.1643495895796,-0.503340351639417,-1.82355409277124
"1915","FRMA",1,503,3008,0,0.6,5,0,"F",0,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","1_0_503","1_0","1_0_503_FRMA",4106.38150802374,412.150801993249,3694.23070603049,"1_0_503_15fa","1_0_503_15fa_FRMA",8,4,3,4,0.116616958444086,-0.801313423915305,-1.85729916704339,-0.424580795525405,-1.16732224104129,0.147699762481336
"1918","FRMA",2,207,7003,0.3,0.26,3,0,"W",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","2_1_207","2_1","2_1_207_FRMA",4473.20915302553,930.213006745067,3542.99614628047,"2_1_207_15fa","2_1_207_15fa_FRMA",6,5,4,1,0.447375843391224,-0.956888092672535,-1.35179722523023,-0.1643495895796,-2.46178129100138,-0.951260365764085
"1920","FRMA",2,201,1011,0.07,0.98,3,4,"F",1,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,1,"15fa","2_1_201","2_1","2_1_201_FRMA",7712.28482567037,656.998138729213,7055.28668694115,"2_1_201_15fa","2_1_201_15fa_FRMA",11,5,4,6,0.306030462804085,1.60678571465097,1.86628081607595,-0.1643495895796,-0.691982355343899,-0.951260365764085
"1939","FRMA",1,405,5002,0.15,0.2,4,0,"W",0,"tree","canopy","wind","AM","mid_tolerant","deciduous",1,0,"15fa","1_0_405","1_0","1_0_405_FRMA",4555.44631015827,775.291079262787,3780.15523089548,"1_0_405_15fa","1_0_405_15fa_FRMA",2,1,0,1,0.373317921741159,-0.715736326822426,-1.24417065312116,-2.04128471219882,-2.46178129100138,-0.332358117077464
