code,sub.code,tag,species,x,y,height15b,height16a,height16b,treatment,exclosure,growth.form,note
101,10B,B011,Tilia amurensis,0.12,0.18,NA,4,4,C,0,tree,
101,10B,B012,Tilia amurensis,0.28,0.21,NA,3,3,C,0,tree,
101,10B,B013,Tilia amurensis,0.52,0.25,NA,5,0,C,0,tree,
101,10B,B014,Tilia amurensis,0.56,0.25,NA,4,5,C,0,tree,
101,10B,B015,Tilia amurensis,0.95,0.37,NA,4,0,C,0,tree,
101,10B,B016,Tilia amurensis,0.87,0.37,NA,5,5,C,0,tree,
101,10B,B017,Tilia amurensis,0.23,0.6,NA,4,5,C,0,tree,
101,10B,B018,Tilia amurensis,0.54,0.38,NA,5,5,C,0,tree,
101,10B,B019,Tilia amurensis,0.54,0.5,NA,6,0,C,0,tree,
101,10B,B020,Tilia amurensis,0.47,0.66,NA,4,4,C,0,tree,
101,10B,B021,Fraxinus mandschurica,0.4,0.93,NA,5,5,C,0,tree,
101,10B,B022,Fraxinus mandschurica,0.84,0.76,NA,3,3,C,0,tree,
101,10C,C001,Syringa reticulata,0.3,0.05,7,7,8,I,0,shrub,
101,10C,C002,Syringa reticulata,0.15,0.2,9,23,23,I,0,shrub,
101,10C,C003,Syringa reticulata,0.8,0.5,26,16,20,I,0,shrub,
101,10C,C004,Philadelphus schrenkii,0.85,0.58,23,32,32,I,0,shrub,
101,10C,C005,Fraxinus mandschurica,0.55,0.5,6,0,NA,I,0,tree,
101,10C,C006,Spiraea chamaedryfolia,0.3,0.53,5,10,6,I,0,shrub,
101,10C,C007,Vitis amurensis,0,0.67,44,34,28,I,0,shrub,
101,10C,C008,Spiraea chamaedryfolia,1,0.48,40,12,15,I,0,shrub,
101,10C,C009,Tilia amurensis,0.05,0.47,NA,3,3,I,0,tree,
101,10C,C010,Tilia amurensis,0.5,0.6,NA,5,6,I,0,tree,
101,10C,C011,Acer mono,0.74,0.2,NA,4,4,I,0,tree,
101,10C,C012,Tilia amurensis,0.94,0.56,NA,5,5,I,0,tree,
101,10D,D001,Philadelphus schrenkii,0.35,0.5,100,112,106,C,0,shrub,
101,10D,D002,Philadelphus schrenkii,0.58,0.7,92,87,98,C,0,shrub,
101,10D,D003,Deutzia glabrata,0.65,0.88,52,57,58,C,0,shrub,
101,10D,D005,Deutzia glabrata,1,0.3,9,0,NA,C,0,shrub,
101,10D,D006,Syringa reticulata,0.65,0.3,12,14,14,C,0,shrub,
101,10D,D007,Syringa reticulata,0.3,0.55,39,30,30,C,0,shrub,
101,10D,D010,Ribes mandshuricum,0.6,0.95,13,16,18,C,0,shrub,
101,10D,D013,Syringa reticulata,0.2,0.85,15,18,18,C,0,shrub,
101,10D,D014,Ribes mandshuricum,0.4,1,18,28,33,C,0,shrub,
101,10D,D015,Tilia amurensis,0.17,0.15,NA,5,5,C,0,tree,
101,10D,D016,Tilia amurensis,0.6,0.32,NA,6,6,C,0,tree,
101,10D,D017,Tilia amurensis,0.67,0.32,NA,7,7,C,0,tree,
101,10D,D018,Tilia amurensis,0.7,0.35,NA,4,0,C,0,tree,
101,10D,D019,Tilia amurensis,0.73,0.32,NA,5,0,C,0,tree,
101,10D,D020,Tilia amurensis,0.76,0.34,NA,5,5,C,0,tree,
101,10D,D021,Tilia amurensis,0.86,0.45,NA,4,4,C,0,tree,
101,10D,D022,Acer tegmentosum,0.97,0.46,NA,5,0,C,0,tree,
101,10D,D023,Fraxinus mandschurica,0.8,0.6,NA,6,6,C,0,tree,
101,10D,D024,Fraxinus mandschurica,0.8,0.6,NA,5,5,C,0,tree,
101,10D,D025,Tilia amurensis,0.82,0.82,NA,4,5,C,0,tree,
101,10D,D026,Fraxinus mandschurica,0.56,0.86,NA,5,7,C,0,tree,
101,10D,D027,Tilia amurensis,0.34,0.9,NA,5,0,C,0,tree,
101,101,1001,Philadelphus schrenkii,0.51,0.71,88,93,98,F,0,shrub,
101,101,1002,Philadelphus schrenkii,0,0.2,138,138,142,F,0,shrub,
101,101,1003,Fraxinus mandschurica,1,0.57,16,16,17,F,0,tree,
101,101,1004,Deutzia glabrata,0.9,0.1,55,58,59,F,0,shrub,
101,101,1005,Euonymus macropterus,0.53,0.58,6,7,7,F,0,shrub,
101,101,1006,Acer triflorum,0.52,0.83,7,8,10,F,0,tree,
101,101,1008,Euonymus macropterus,0.72,0.9,17,23,23,F,0,shrub,
101,101,1010,Philadelphus schrenkii,0.3,0.3,78,80,85,F,0,shrub,
101,101,1011,Tilia amurensis,0.8,0.2,NA,4,4,F,0,tree,
101,101,1012,Tilia amurensis,0.81,0.45,NA,3,0,F,0,tree,
101,101,1013,Tilia amurensis,0.58,0.58,NA,5,0,F,0,tree,
101,101,1014,Tilia amurensis,0.57,0.86,NA,5,0,F,0,tree,
101,101,1015,Tilia amurensis,0.54,0.9,NA,5,0,F,0,tree,
101,101,1016,Tilia amurensis,0.32,0.73,NA,5,5,F,0,tree,
101,101,1017,Tilia amurensis,0,0.83,NA,5,5,F,0,tree,
101,101,1018,Tilia amurensis,0.1,0.9,NA,5,5,F,0,tree,
101,101,1019,Tilia amurensis,0.3,0.41,NA,4,4,F,0,tree,
101,102,2001,Celastrus orbiculatus,0.12,0.66,34,40,41,I,0,shrub,
101,102,2002,Celastrus orbiculatus,0.3,0.7,9,9,9,I,0,shrub,
101,102,2003,Vitis amurensis,0.1,0.9,14,26,27,I,0,shrub,
101,102,2006,Tilia amurensis,0.24,0.35,NA,4,0,I,0,tree,
101,102,2007,Tilia amurensis,0.14,0.49,NA,4,5,I,0,tree,
101,102,2008,Tilia amurensis,0.13,0.82,NA,5,0,I,0,tree,
101,102,2009,Fraxinus mandschurica,0.08,0.76,NA,5,5,I,0,tree,
101,102,2010,Fraxinus mandschurica,0.18,0.78,NA,5,5,I,0,tree,
101,102,2011,Acer tegmentosum,0.47,0.6,NA,3,3,I,0,tree,
101,102,2012,Tilia amurensis,0.9,0.53,NA,4,4,I,0,tree,
101,103,3001,Celastrus orbiculatus,0.35,0.86,46,47,47,F,0,shrub,
101,103,3002,Celastrus orbiculatus,0.14,0.56,11,0,NA,F,0,shrub,
101,103,3003,Celastrus orbiculatus,0.46,0.57,24,31,32,F,0,shrub,
101,103,3005,Ribes maximowiczianum,0.68,0.71,45,45,49,F,0,shrub,
101,103,3006,Syringa reticulata,0.74,0.52,15,16,18,F,0,shrub,
101,103,3007,Acer barbinerve ,0.85,0.9,181,106,106,F,0,shrub,
101,103,3008,Actinidia kolomikta,0.62,0.16,18,26,17,F,0,shrub,
101,103,3009,Fraxinus mandschurica,0.24,0.05,NA,5,5,F,0,tree,
101,103,3010,Acer barbinerve ,0.36,0.4,NA,6,6,F,0,shrub,
101,103,3011,Acer barbinerve ,0.54,0.3,NA,6,7,F,0,shrub,
101,103,3012,Acer barbinerve ,0.25,0.51,NA,4,4,F,0,shrub,
101,103,3013,Acer barbinerve ,0.95,0.1,NA,4,4,F,0,shrub,
101,103,3014,Tilia amurensis,0.97,0.1,NA,6,6,F,0,tree,
101,103,3015,Tilia amurensis,0.7,0.56,NA,5,0,F,0,tree,
101,103,3016,Tilia amurensis,0.88,0.86,NA,5,0,F,0,tree,
101,103,3017,Tilia amurensis,0.95,0.95,NA,4,4,F,0,tree,
101,103,3018,Acer barbinerve ,0.97,1,NA,3,0,F,0,shrub,
101,103,3019,Tilia amurensis,0.1,0.7,NA,5,5,F,0,tree,
101,103,3020,Tilia amurensis,0.18,0.68,NA,4,5,F,0,tree,
101,103,3021,Fraxinus mandschurica,0.18,0.78,NA,4,4,F,0,tree,
101,103,3022,Acer tegmentosum,1,0.85,NA,5,6,F,0,tree,
101,103,3024,Tilia amurensis,0.97,0.1,NA,NA,8,F,0,tree,
101,103,3023,Acer tegmentosum,1,0.87,NA,5,6,F,0,tree,old seedling
101,104,4002,Acer barbinerve ,0.55,0.437,3,0,NA,W,0,shrub,
101,104,4003,Celastrus orbiculatus,0.45,0.73,21,0,NA,W,0,shrub,
101,104,4004,Celastrus orbiculatus,0.4,0.89,35,0,NA,W,0,shrub,
101,104,4005,Acer barbinerve ,0.87,0.58,44,44,43,W,0,shrub,
101,104,4006,Euonymus alatus,0.9,0.11,8,7,12,W,0,shrub,
101,104,4008,Deutzia glabrata,0.07,0.57,14,15,15,W,0,shrub,
101,104,4009,Tilia amurensis,0.13,0.37,NA,5,20,W,0,tree,
101,104,4010,Tilia amurensis,0.4,0.43,NA,5,6,W,0,tree,
101,104,4011,Fraxinus mandschurica,0.42,0.16,NA,5,6,W,0,tree,
101,104,4012,Acer tegmentosum,0.57,0.8,NA,4,5,W,0,tree,
101,104,4013,Fraxinus mandschurica,0.55,0.03,NA,6,7,W,0,tree,
101,104,4014,Tilia amurensis,0.7,0.1,NA,4,6,W,0,tree,
101,104,4015,Fraxinus mandschurica,0.67,0.8,NA,5,6,W,0,tree,
101,105,5006,Celastrus orbiculatus,0.31,0.03,10,0,NA,S,0,shrub,
101,105,5014,Euonymus verrucosus,0.87,0.82,12,0,NA,S,0,shrub,
101,105,5015,Acer barbinerve ,0.7,0.35,56,0,NA,S,0,shrub,
101,105,5016,Celastrus orbiculatus,0.27,0,NA,18,18,S,0,shrub,
101,105,5017,Celastrus orbiculatus,0.05,0.1,NA,22,23,S,0,shrub,
101,105,5018,Tilia amurensis,0.28,0.12,NA,7,0,S,0,tree,
101,105,5019,Tilia amurensis,0.48,0.08,NA,5,5,S,0,tree,
101,105,5020,Fraxinus mandschurica,0.5,0.13,NA,5,6,S,0,tree,
101,105,5021,Fraxinus mandschurica,0.23,0.5,NA,5,5,S,0,tree,
101,105,5022,Fraxinus mandschurica,0.2,0.86,NA,6,6,S,0,tree,
101,105,5023,Fraxinus mandschurica,0.25,0.84,NA,4,4,S,0,tree,
101,105,5024,Fraxinus mandschurica,0.4,0.87,NA,4,5,S,0,tree,
101,105,5025,Fraxinus mandschurica,0.6,0.93,NA,4,5,S,0,tree,
101,105,5026,Tilia amurensis,0.93,0.78,NA,5,0,S,0,tree,
101,105,5027,Tilia amurensis,0.94,0.86,NA,4,0,S,0,tree,
101,105,5028,Fraxinus mandschurica,0.73,1,NA,NA,5,S,0,tree,
101,106,6001,Lonicera spp.,0.24,0.76,21,44,44,S,0,shrub,
101,106,6002,Spiraea chamaedryfolia,0.68,0.44,58,37,41,S,0,shrub,
101,106,6005,Euonymus macropterus,0.45,0.85,9,0,NA,S,0,shrub,
101,106,6010,Fraxinus mandschurica,0.08,0.55,4,7,7,S,0,tree,
101,106,6011,Euonymus macropterus,0.3,0.9,NA,8,10,S,0,shrub,
101,106,6012,Fraxinus mandschurica,0.31,0.82,NA,3,4,S,0,tree,
101,106,6013,Fraxinus mandschurica,0.86,0.7,NA,6,6,S,0,tree,
101,106,6014,Fraxinus mandschurica,0.85,0.36,NA,5,0,S,0,tree,
101,106,6015,Tilia amurensis,0.9,0.5,NA,3,0,S,0,tree,
101,106,6016,Tilia amurensis,0.93,0.07,NA,5,0,S,0,tree,
101,106,6017,Tilia amurensis,0.64,0,NA,4,0,S,0,tree,
101,106,6018,Fraxinus mandschurica,0.37,0.05,NA,4,0,S,0,tree,
101,20A,A001,Ribes mandshuricum,0.28,0.62,101,103,105,F,0,shrub,
101,20A,A002,Philadelphus schrenkii,0.43,0.38,57,63,63,F,0,shrub,
101,20A,A003,Celastrus orbiculatus,0.57,0.78,35,46,50,F,0,shrub,
101,20A,A004,Euonymus macropterus,0.75,0.7,17,20,21,F,0,shrub,
101,20A,A005,Acer triflorum,0.59,0.18,14,0,NA,F,0,tree,
101,20A,A006,Ribes mandshuricum,0.77,0.17,26,39,39,F,0,shrub,
101,20A,A007,Euonymus macropterus,0.95,0.24,13,14,17,F,0,shrub,
101,20A,A008,Euonymus macropterus,0.15,0.72,6,9,10,F,0,shrub,
101,20A,A009,Ribes mandshuricum,0.23,0.36,23,27,27,F,0,shrub,
101,20A,A010,Tilia amurensis,0.48,0.51,NA,4,4,F,0,tree,
101,20A,A011,Tilia amurensis,0.97,0.86,NA,4,5,F,0,tree,
101,20A,A012,Tilia amurensis,0.8,0.36,NA,6,4,F,0,tree,
101,20A,A013,Fraxinus mandschurica,0.34,0.92,NA,6,7,F,0,tree,
101,20A,A014,Tilia amurensis,0.37,0.97,NA,4,4,F,0,tree,
101,20A,A015,Acer tegmentosum,0.32,0.8,NA,3,0,F,0,tree,
101,20A,A016,Tilia amurensis,0.14,0,NA,4,0,F,0,tree,
101,20A,A017,Tilia amurensis,0.62,0,NA,3,0,F,0,tree,
101,20B,B001,Celastrus orbiculatus,0,0.13,57,58,58,I,0,shrub,
101,20B,B002,Euonymus macropterus,0.9,0.05,17,11,30,I,0,shrub,
101,20B,B003,Celastrus orbiculatus,0.1,0.34,NA,30,30,I,0,shrub,
101,20B,B004,Celastrus orbiculatus,0.17,0.52,NA,37,36,I,0,shrub,
101,20B,B005,Tilia amurensis,0.25,0.35,NA,6,6,I,0,tree,
101,20B,B006,Fraxinus mandschurica,0.24,0.31,NA,7,7,I,0,tree,
101,20B,B007,Fraxinus mandschurica,0.85,0.14,NA,5,5,I,0,tree,
101,20B,B008,Acer barbinerve ,0.86,0.25,NA,6,5,I,0,shrub,
101,20B,B009,Acer tegmentosum,0.87,0.38,NA,5,6,I,0,tree,
101,20B,B010,Tilia amurensis,0.97,0.23,NA,5,5,I,0,tree,
101,20B,B011,Tilia amurensis,0.9,0.42,NA,4,0,I,0,tree,
101,20B,B012,Tilia amurensis,0.75,0.45,NA,6,6,I,0,tree,
101,20B,B013,Fraxinus mandschurica,0.77,0.5,NA,7,0,I,0,tree,
101,20B,B014,Tilia amurensis,0.46,0.45,NA,5,5,I,0,tree,
101,20B,B015,Tilia amurensis,0.26,1,NA,5,6,I,0,tree,
101,20B,B016,Pinus koraiensis,0.1,0.97,NA,5,7,I,0,tree,
101,20C,C003,Euonymus macropterus,0.3,0.4,7,10,11,S,0,shrub,
101,20C,C006,Fraxinus mandschurica,0.47,0.07,NA,4,4,S,0,tree,
101,20C,C007,Tilia amurensis,0.89,0.07,NA,4,0,S,0,tree,
101,20C,C008,Tilia amurensis,0.38,0.32,NA,5,5,S,0,tree,
101,20C,C009,Tilia amurensis,0.2,0.42,NA,5,6,S,0,tree,
101,20C,C010,Tilia amurensis,0.04,0.46,NA,5,5,S,0,tree,
101,20C,C011,Fraxinus mandschurica,0.05,0.58,NA,5,5,S,0,tree,
101,20C,C012,Fraxinus mandschurica,0.73,0.55,NA,3,3,S,0,tree,
101,20C,C013,Fraxinus mandschurica,0.32,0.9,NA,6,6,S,0,tree,
101,20C,C014,Tilia amurensis,0.27,0.98,NA,6,0,S,0,tree,
101,20C,C015,Fraxinus mandschurica,0.57,0.82,NA,5,6,S,0,tree,
101,20C,C016,Tilia amurensis,0.95,0.88,NA,5,5,S,0,tree,
101,20C,C017,Tilia amurensis,0.95,0.74,NA,4,4,S,0,tree,
101,20C,C018,Ulmus davidiana var. japonica,0.9,0.9,NA,4,0,S,0,tree,
101,20D,D001,Syringa reticulata,0.33,0.7,48,0,NA,W,0,shrub,
101,20D,D003,Euonymus macropterus,0.12,0.32,8,9,9,W,0,shrub,
101,20D,D004,Syringa reticulata,0.35,0.9,16,18,18,W,0,shrub,
101,20D,D007,Fraxinus mandschurica,0.04,0.35,NA,5,4,W,0,tree,
101,20D,D008,Tilia amurensis,0.19,0.42,NA,6,0,W,0,tree,
101,20D,D009,Tilia amurensis,0.8,0.45,NA,5,5,W,0,tree,
101,20D,D010,Tilia amurensis,0.9,0.37,NA,5,5,W,0,tree,
101,20D,D011,Fraxinus mandschurica,0.6,0.74,NA,5,5,W,0,tree,
101,20D,D012,Acer pseudo-sieboldianum ,0.67,0.83,NA,5,5,W,0,tree,
101,20D,D013,Acer pseudo-sieboldianum ,0.33,0.43,NA,4,5,W,0,tree,
101,201,1011,Euonymus macropterus,0.95,0.4,5,11,11,S,0,shrub,
101,201,1016,Fraxinus mandschurica,0.07,0.05,NA,5,5,S,0,tree,
101,201,1017,Acer tegmentosum,0.21,0.23,NA,5,4,S,0,tree,
101,201,1018,Acer tegmentosum,0.49,0.27,NA,3,5,S,0,tree,
101,201,1019,Ulmus davidiana var. japonica,0.65,0.32,NA,3,5,S,0,tree,
101,201,1020,Tilia amurensis,0.57,0.48,NA,5,8,S,0,tree,
101,201,1021,Fraxinus mandschurica,0.8,0.77,NA,7,8,S,0,tree,
101,202,2001,Euonymus macropterus,0.5,0.15,8,16,17,C,0,shrub,
101,202,2002,Celastrus orbiculatus,0.7,0.25,16,NA,19,C,0,shrub,missing data in 16a
101,202,2004,Tilia amurensis,0.02,0.06,NA,3,0,C,0,tree,
101,202,2005,Tilia amurensis,0.08,0.14,NA,4,0,C,0,tree,
101,202,2006,Acer tegmentosum,0.3,0.04,NA,5,5,C,0,tree,
101,202,2007,Acer tegmentosum,0.45,0.55,NA,6,0,C,0,tree,
101,202,2008,Acer tegmentosum,0.74,0.95,NA,5,5,C,0,tree,
101,203,3001,Celastrus orbiculatus,0.15,0.7,38,44,44,W,0,shrub,
101,203,3002,Celastrus orbiculatus,0.5,0.9,31,0,NA,W,0,shrub,
101,203,3005,Celastrus orbiculatus,0.38,0.5,16,33,33,W,0,shrub,
101,203,3006,Philadelphus schrenkii,0.7,0.2,30,31,32,W,0,shrub,
101,203,3009,Spiraea chamaedryfolia,0.64,0.24,NA,20,20,W,0,shrub,
101,203,3010,Acer tegmentosum,0.05,0.08,NA,7,7,W,0,tree,
101,203,3011,Tilia amurensis,0.25,0.46,NA,5,5,W,0,tree,
101,203,3012,Tilia amurensis,0.33,0.55,NA,5,0,W,0,tree,
101,203,3013,Acer tegmentosum,0.12,0.47,NA,5,5,W,0,tree,
101,203,3014,Acer barbinerve ,0.12,0.72,NA,8,7,W,0,shrub,
101,203,3015,Acer barbinerve ,0.14,0.75,NA,6,5,W,0,shrub,
101,203,3016,Acer barbinerve ,0.42,0.7,NA,6,6,W,0,shrub,
101,203,3017,Acer barbinerve ,0.37,0.82,NA,6,6,W,0,shrub,
101,203,3018,Acer barbinerve ,0.45,0.82,NA,6,6,W,0,shrub,
101,203,3019,Acer barbinerve ,0.47,0.8,NA,7,7,W,0,shrub,
101,203,3020,Acer barbinerve ,0.55,0.8,NA,6,6,W,0,shrub,
101,203,3021,Tilia amurensis,0.04,0.9,NA,5,6,W,0,tree,
101,203,3022,Acer barbinerve ,0.54,0.6,NA,5,7,W,0,shrub,
101,203,3023,Acer barbinerve ,0.68,0.64,NA,7,0,W,0,shrub,
101,203,3024,Acer barbinerve ,0.58,0.38,NA,4,5,W,0,shrub,
101,203,3025,Acer barbinerve ,0.75,0.24,NA,5,5,W,0,shrub,
101,203,3026,Acer barbinerve ,0.88,0.42,NA,6,7,W,0,shrub,
101,203,3027,Acer barbinerve ,0.8,0.13,NA,4,5,W,0,shrub,
101,203,3028,Tilia amurensis,0.64,0.64,NA,5,5,W,0,tree,
101,203,3029,Tilia amurensis,0.72,0.68,NA,7,6,W,0,tree,
101,203,3030,Tilia amurensis,0.72,0.68,NA,5,0,W,0,tree,
101,203,3031,Acer tegmentosum,0.8,0.63,NA,5,6,W,0,tree,
101,203,3032,Tilia amurensis,0.66,0.17,NA,3,0,W,0,tree,
101,203,3033,Tilia amurensis,0.47,0.17,NA,5,5,W,0,tree,
101,203,3034,Acer barbinerve ,0.63,0.77,NA,5,0,W,0,shrub,
101,204,4003,Corylus mandshurica,0.65,0.4,28,NA,21,I,0,shrub,sprout;missing data in 16a
101,204,4004,Corylus mandshurica,0.03,0.75,165,163,166,I,0,shrub,sprout
101,204,4005,Corylus mandshurica,0.1,0.55,72,92,99,I,0,shrub,sprout
101,204,4007,Euonymus alatus,0.65,0.83,39,0,NA,I,0,shrub,
101,204,4008,Euonymus alatus,0.65,0.95,29,21,23,I,0,shrub,
101,204,4009,Fraxinus mandschurica,0,0.75,20,24,25,I,0,tree,
101,204,4010,Acer pseudo-sieboldianum ,0.08,0.03,10,13,11,I,0,tree,
101,204,4013,Acer mandshuricum,0.75,0.3,10,0,NA,I,0,tree,
101,204,4014,Acer mono,0.23,0.05,NA,4,5,I,0,tree,
101,204,4015,Acer barbinerve ,0.43,0.17,NA,4,5,I,0,shrub,
101,204,4016,Acer barbinerve ,0.32,0.33,NA,5,5,I,0,shrub,
101,204,4017,Tilia amurensis,0.35,0.26,NA,5,6,I,0,tree,
101,204,4018,Tilia amurensis,0.56,0.3,NA,4,0,I,0,tree,
101,204,4019,Acer barbinerve ,0.65,0.25,NA,5,6,I,0,shrub,
101,204,4020,Acer barbinerve ,0.91,0.2,NA,4,5,I,0,shrub,
101,204,4021,Acer mono,0.67,0.25,NA,3,5,I,0,tree,
101,204,4022,Fraxinus mandschurica,0.72,0.52,NA,6,7,I,0,tree,
101,204,4023,Tilia amurensis,1,0.74,NA,5,5,I,0,tree,
101,204,4024,Fraxinus mandschurica,0.18,0.5,NA,6,5,I,0,tree,
101,204,4025,Tilia amurensis,0.43,0.52,NA,6,6,I,0,tree,
101,204,4026,Acer tegmentosum,0.7,0.8,NA,3,5,I,0,tree,
101,204,4027,Acer barbinerve ,0.48,0.82,NA,3,5,I,0,shrub,
101,204,4028,Tilia amurensis,0,1,NA,5,6,I,0,tree,
101,204,4029,Fraxinus mandschurica,0.05,0.98,NA,3,7,I,0,tree,
101,204,4030,Acer barbinerve ,0.24,0.98,NA,4,5,I,0,shrub,
101,204,4031,Acer barbinerve ,0.15,0.37,NA,5,6,I,0,shrub,
101,204,4032,Tilia amurensis,0,0,NA,5,5,I,0,tree,
101,205,5002,Celastrus orbiculatus,0.5,0.3,33,35,35,F,0,shrub,
101,205,5003,Philadelphus schrenkii,0.75,0.5,42,54,60,F,0,shrub,
101,205,5004,Euonymus alatus,0.05,0.75,18,20,18,F,0,shrub,
101,205,5005,Celastrus orbiculatus,0.15,0.8,5,NA,8,F,0,shrub,missing data in 16a
101,205,5006,Philadelphus schrenkii,0.77,0.65,35,35,35,F,0,shrub,
101,205,5007,Euonymus alatus,0.75,1,11,20,14,F,0,shrub,
101,205,5008,Celastrus orbiculatus,0.95,0.8,29,31,31,F,0,shrub,
101,205,5009,Tilia amurensis,0.56,0.22,NA,5,5,F,0,tree,
101,205,5010,Tilia amurensis,0.56,0.22,NA,4,4,F,0,tree,
101,205,5011,Tilia amurensis,0.77,0.18,NA,4,4,F,0,tree,
101,205,5012,Fraxinus mandschurica,0.5,0.35,NA,6,6,F,0,tree,
101,205,5013,Fraxinus mandschurica,0.88,0.08,NA,6,6,F,0,tree,
101,205,5014,Tilia amurensis,0.9,0.25,NA,5,5,F,0,tree,
101,205,5015,Tilia amurensis,0.94,0.85,NA,3,4,F,0,tree,
101,205,5016,Tilia amurensis,0.55,0.63,NA,5,5,F,0,tree,
101,205,5017,Acer mono,0.6,0.87,NA,4,4,F,0,tree,
101,205,5018,Acer mono,0.44,0.88,NA,4,5,F,0,tree,
101,205,5019,Fraxinus mandschurica,0.35,0.9,NA,5,6,F,0,tree,
101,205,5020,Tilia amurensis,0.27,0.8,NA,4,6,F,0,tree,
101,205,5021,Acer barbinerve ,0.24,0.95,NA,8,8,F,0,shrub,
101,205,5022,Tilia amurensis,0.25,0.56,NA,4,5,F,0,tree,
101,205,5023,Tilia amurensis,0.94,0.08,NA,5,5,F,0,tree,
101,205,5024,Pinus koraiensis,0.77,0.25,NA,6,6,F,0,tree,
101,206,6002,Viburnum burejaeticum,0.12,0.95,23,32,34,C,0,shrub,
101,206,6003,Acer barbinerve ,0.15,0.7,31,43,48,C,0,shrub,
101,206,6004,Acer barbinerve ,0.6,0.85,225,258,258,C,0,shrub,
101,206,6007,Euonymus macropterus,0.45,0.3,10,11,11,C,0,shrub,
101,206,6008,Ribes maximowiczianum,0.35,0.47,NA,40,31,C,0,shrub,
101,206,6009,Tilia amurensis,0.7,0.32,NA,4,0,C,0,tree,
101,206,6010,Tilia amurensis,0.9,0.3,NA,4,5,C,0,tree,
101,206,6011,Tilia amurensis,0.62,0.52,NA,4,0,C,0,tree,
101,206,6012,Fraxinus mandschurica,0.7,0.59,NA,5,6,C,0,tree,
101,30A,A001,Syringa reticulata,0.27,0.37,12,20,20,I,0,shrub,
101,30A,A004,Ribes maximowiczianum,0.37,0.6,42,50,52,I,0,shrub,
101,30A,A007,Celastrus orbiculatus,0.65,0.57,13,13,13,I,0,shrub,
101,30A,A008,Ribes mandshuricum,0.28,1,61,66,66,I,0,shrub,
101,30A,A011,Fraxinus mandschurica,0.05,0,NA,5,6,I,0,tree,
101,30A,A012,Fraxinus mandschurica,0.05,0.18,NA,4,5,I,0,tree,
101,30A,A013,Tilia amurensis,0.84,0.27,NA,4,0,I,0,tree,
101,30A,A014,Tilia amurensis,0.2,0.73,NA,4,4,I,0,tree,
101,30A,A015,Tilia amurensis,0.17,0.9,NA,3,0,I,0,tree,
101,30A,A016,Fraxinus mandschurica,0.03,0.6,NA,5,5,I,0,tree,
101,30A,A017,Fraxinus mandschurica,0.16,0.9,NA,5,6,I,0,tree,
101,30A,A018,Fraxinus mandschurica,0.43,0.87,NA,5,0,I,0,tree,
101,30A,A019,Tilia amurensis,0.52,0.81,NA,6,0,I,0,tree,
101,30A,A020,Tilia amurensis,0.82,0.7,NA,4,0,I,0,tree,
101,30B,B001,Philadelphus schrenkii,0.27,0.13,68,77,80,F,0,shrub,
101,30B,B003,Fraxinus mandschurica,0.83,0,7,10,10,F,0,tree,
101,30B,B004,Acer barbinerve ,0.98,0.74,10,NA,7,F,0,shrub,missing data in 16a
101,30B,B006,Lonicera spp.,0.8,0.5,24,30,31,F,0,shrub,
101,30B,B007,Tilia amurensis,0.55,0.25,NA,5,4,F,0,tree,
